date,department,team,actual_productivity,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,perf_ratio
2015-01-03,sewing,10,0.787299691,0.75,19.31,610.0,6480,56.0,0.0,0.0,0.0,54.0,1.0497
2015-01-03,sewing,11,0.800237288,0.8,11.61,1005.0,7080,50.0,0.0,0.0,0.0,29.5,1.0003
2015-01-03,sewing,12,0.800318644,0.8,26.16,844.0,7080,63.0,0.0,0.0,0.0,59.0,1.0004
2015-01-04,finishing,1,0.915229167,0.8,3.94,1039.0,960,0.0,0.0,0.0,0.0,8.0,1.144
2015-01-04,finishing,2,0.792104167,0.8,3.94,1039.0,960,0.0,0.0,0.0,0.0,8.0,0.9901
2015-01-04,finishing,3,0.991388889,0.75,4.15,1039.0,1560,0.0,0.0,0.0,0.0,8.0,1.3219
2015-01-04,finishing,4,0.861679012,0.8,3.94,1039.0,6600,0.0,0.0,0.0,0.0,20.0,1.0771
2015-01-04,finishing,7,0.667604167,0.8,2.9,1039.0,960,0.0,0.0,0.0,0.0,8.0,0.8345
2015-01-04,finishing,8,0.682708333,0.8,2.9,1039.0,960,0.0,0.0,0.0,0.0,8.0,0.8534
2015-01-04,finishing,9,0.931645833,0.8,3.94,1039.0,960,0.0,0.0,0.0,0.0,8.0,1.1646
2015-01-04,finishing,10,0.759228395,0.7,3.94,1039.0,4320,0.0,0.0,0.0,0.0,18.0,1.0846
2015-01-04,finishing,11,0.345833333,0.75,4.15,1039.0,960,0.0,0.0,0.0,0.0,8.0,0.4611
2015-01-04,sewing,1,0.800318644,0.8,26.16,1033.0,7080,63.0,0.0,0.0,0.0,59.0,1.0004
2015-01-04,sewing,2,0.800237838,0.8,28.08,782.0,6660,50.0,0.0,0.0,0.0,55.5,1.0003
2015-01-04,sewing,3,0.75024303,0.75,19.87,734.0,6600,45.0,0.0,0.0,0.0,55.0,1.0003
2015-01-04,sewing,4,0.800598058,0.8,28.08,878.0,4260,50.0,0.0,0.0,0.0,55.5,1.0007
2015-01-04,sewing,5,0.603432184,0.7,45.67,884.0,6960,26.0,0.0,0.0,0.0,58.0,0.862
2015-01-04,sewing,6,0.879714482,0.8,11.61,539.0,6975,50.0,0.0,0.0,0.0,31.0,1.0996
2015-01-04,sewing,7,0.850436438,0.8,25.9,1227.0,7020,60.0,0.0,0.0,0.0,56.5,1.063
2015-01-04,sewing,8,0.850345133,0.8,25.9,1039.0,6780,45.0,0.0,0.0,0.0,56.5,1.0629
2015-01-04,sewing,9,0.850569492,0.8,26.16,1278.0,7080,60.0,0.0,0.0,0.0,59.0,1.0632
2015-01-04,sewing,10,0.699965217,0.7,28.08,1202.0,6900,40.0,0.0,0.0,0.0,57.5,1.0
2015-01-04,sewing,11,0.750348457,0.75,19.31,513.0,6480,45.0,0.0,0.0,0.0,54.0,1.0005
2015-01-04,sewing,12,0.800030199,0.8,11.61,1216.0,6975,50.0,0.0,0.0,0.0,31.0,1.0
2015-01-05,finishing,1,0.961059028,0.8,3.94,1039.0,1920,0.0,0.0,0.0,0.0,8.0,1.2013
2015-01-05,finishing,2,0.804416667,0.8,3.94,1039.0,960,0.0,0.0,0.0,0.0,8.0,1.0055
2015-01-05,finishing,3,0.875390625,0.75,4.15,1039.0,1920,0.0,0.0,0.0,0.0,8.0,1.1672
2015-01-05,finishing,4,0.893663194,0.8,3.94,1039.0,3840,0.0,0.0,0.0,0.0,16.0,1.1171
2015-01-05,finishing,5,0.759270833,0.6,2.9,1039.0,960,0.0,0.0,0.0,0.0,8.0,1.2655
2015-01-05,finishing,7,0.676666667,0.8,3.94,1039.0,960,0.0,0.0,0.0,0.0,8.0,0.8458
2015-01-05,finishing,8,0.664583333,0.8,2.9,1039.0,960,0.0,0.0,0.0,0.0,8.0,0.8307
2015-01-05,finishing,9,0.820833333,0.8,2.9,1039.0,1920,0.0,0.0,0.0,0.0,8.0,1.026
2015-01-05,finishing,10,0.763375,0.75,2.9,1039.0,960,0.0,0.0,0.0,0.0,8.0,1.0178
2015-01-05,finishing,11,0.939513889,0.8,3.94,1039.0,2400,0.0,0.0,0.0,0.0,10.0,1.1744
2015-01-05,sewing,1,0.800318644,0.8,26.16,1138.0,7080,63.0,0.0,0.0,0.0,59.0,1.0004
2015-01-05,sewing,2,0.800076522,0.8,28.08,757.0,6900,50.0,0.0,0.0,0.0,57.5,1.0001
2015-01-05,sewing,3,0.75024303,0.75,19.87,944.0,6600,45.0,0.0,0.0,0.0,55.0,1.0003
2015-01-05,sewing,4,0.800076522,0.8,28.08,759.0,6900,50.0,0.0,0.0,0.0,57.5,1.0001
2015-01-05,sewing,5,0.600028736,0.6,21.98,666.0,6960,23.0,0.0,0.0,0.0,58.0,1.0
2015-01-05,sewing,6,0.800246011,0.8,11.61,712.0,7200,50.0,0.0,0.0,0.0,32.0,1.0003
2015-01-05,sewing,7,0.800684366,0.8,25.9,1255.0,6780,50.0,0.0,0.0,0.0,56.5,1.0009
2015-01-05,sewing,8,0.800684366,0.8,25.9,1047.0,6780,38.0,0.0,0.0,0.0,56.5,1.0009
2015-01-05,sewing,9,0.850569492,0.8,26.16,1227.0,7080,75.0,0.0,0.0,0.0,59.0,1.0632
2015-01-05,sewing,10,0.7504,0.75,28.08,1083.0,7020,45.0,0.0,0.0,0.0,58.5,1.0005
2015-01-05,sewing,11,0.800250962,0.8,19.31,678.0,4800,50.0,0.0,0.0,0.0,55.0,1.0003
2015-01-05,sewing,12,0.800246011,0.8,11.61,1037.0,7200,50.0,0.0,0.0,0.0,32.0,1.0003
2015-01-06,finishing,1,0.936496212,0.8,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.1706
2015-01-06,finishing,2,0.805909091,0.8,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.0074
2015-01-06,finishing,3,0.899166667,0.75,4.15,1039.0,1800,0.0,0.0,0.0,0.0,10.0,1.1989
2015-01-06,finishing,4,0.966781346,0.8,3.94,1039.0,4440,0.0,0.0,0.0,0.0,18.0,1.2085
2015-01-06,finishing,7,0.61625,0.8,2.9,1039.0,1440,0.0,0.0,0.0,0.0,8.0,0.7703
2015-01-06,finishing,8,0.681060606,0.8,2.9,1039.0,1440,0.0,0.0,0.0,0.0,8.0,0.8513
2015-01-06,finishing,9,0.858143939,0.8,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.0727
2015-01-06,finishing,10,0.809640152,0.75,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.0795
2015-01-06,finishing,11,0.888686869,0.8,4.15,1039.0,2700,0.0,0.0,0.0,0.0,15.0,1.1109
2015-01-06,sewing,1,0.850502311,0.8,26.16,1187.0,10620,75.0,0.0,0.0,0.0,59.0,1.0631
2015-01-06,sewing,2,0.800594466,0.8,28.08,716.0,10350,50.0,0.0,0.0,0.0,57.5,1.0007
2015-01-06,sewing,3,0.800273829,0.8,19.87,963.0,9900,50.0,0.0,0.0,0.0,55.0,1.0003
2015-01-06,sewing,4,0.800594466,0.8,28.08,925.0,10350,50.0,0.0,0.0,0.0,57.5,1.0007
2015-01-06,sewing,5,0.649983281,0.65,21.98,808.0,10440,35.0,0.0,0.0,0.0,58.0,1.0
2015-01-06,sewing,6,0.80007657,0.8,11.61,910.0,4470,38.0,0.0,0.0,0.0,31.5,1.0001
2015-01-06,sewing,7,0.800128721,0.8,25.9,1035.0,10170,38.0,0.0,0.0,0.0,56.5,1.0002
2015-01-06,sewing,8,0.800128721,0.8,25.9,1083.0,10170,38.0,0.0,0.0,0.0,56.5,1.0002
2015-01-06,sewing,9,0.850502311,0.8,26.16,1305.0,10620,75.0,0.0,0.0,0.0,59.0,1.0631
2015-01-06,sewing,10,0.750545455,0.75,28.08,1209.0,10530,45.0,0.0,0.0,0.0,58.5,1.0007
2015-01-06,sewing,11,0.750057851,0.75,19.31,590.0,9900,45.0,0.0,0.0,0.0,55.0,1.0001
2015-01-06,sewing,12,0.800140969,0.8,11.61,1101.0,5310,50.0,0.0,0.0,0.0,31.5,1.0002
2015-01-07,finishing,1,0.951420455,0.8,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.1893
2015-01-07,finishing,2,0.813371212,0.8,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.0167
2015-01-07,finishing,3,0.83,0.75,4.15,1039.0,2700,0.0,0.0,0.0,0.0,15.0,1.1067
2015-01-07,finishing,4,0.827186544,0.8,3.94,1039.0,4440,0.0,0.0,0.0,0.0,18.0,1.034
2015-01-07,finishing,5,0.330113636,0.7,4.15,1039.0,1440,0.0,0.0,0.0,0.0,8.0,0.4716
2015-01-07,finishing,6,0.666515152,0.8,2.9,1039.0,1800,0.0,0.0,0.0,0.0,10.0,0.8331
2015-01-07,finishing,7,0.804640152,0.8,2.9,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.0058
2015-01-07,finishing,8,0.681060606,0.8,2.9,1039.0,1440,0.0,0.0,0.0,0.0,8.0,0.8513
2015-01-07,finishing,9,0.880530303,0.8,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.1007
2015-01-07,finishing,10,0.805909091,0.75,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.0745
2015-01-07,sewing,1,0.850502311,0.8,26.16,1179.0,10620,75.0,0.0,0.0,0.0,59.0,1.0631
2015-01-07,sewing,2,0.800594466,0.8,28.08,776.0,10350,63.0,0.0,0.0,0.0,57.5,1.0007
2015-01-07,sewing,3,0.800273829,0.8,19.87,924.0,9900,50.0,0.0,0.0,0.0,55.0,1.0003
2015-01-07,sewing,4,0.800594466,0.8,28.08,990.0,10350,50.0,0.0,0.0,0.0,57.5,1.0007
2015-01-07,sewing,5,0.700480831,0.7,21.98,413.0,9720,40.0,0.0,0.0,0.0,58.0,1.0007
2015-01-07,sewing,6,0.800343766,0.8,11.41,986.0,5490,50.0,0.0,0.0,0.0,30.5,1.0004
2015-01-07,sewing,7,0.800128721,0.8,25.9,1066.0,10170,50.0,0.0,0.0,0.0,56.5,1.0002
2015-01-07,sewing,8,0.850136766,0.8,25.9,1135.0,10170,60.0,0.0,0.0,0.0,56.5,1.0627
2015-01-07,sewing,9,0.850502311,0.8,26.16,1324.0,10620,75.0,0.0,0.0,0.0,59.0,1.0631
2015-01-07,sewing,10,0.8,0.75,28.08,1144.0,10530,69.0,0.0,0.0,0.0,58.5,1.0667
2015-01-07,sewing,11,0.412119835,0.8,31.83,568.0,9900,40.0,0.0,0.0,0.0,55.0,0.5151
2015-01-07,sewing,12,0.800246753,0.8,11.61,1120.0,5670,50.0,0.0,0.0,0.0,31.5,1.0003
2015-01-08,finishing,1,0.947689394,0.8,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.1846
2015-01-08,finishing,2,0.835757576,0.8,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.0447
2015-01-08,finishing,3,0.712626263,0.75,4.15,1039.0,2160,0.0,0.0,0.0,0.0,12.0,0.9502
2015-01-08,finishing,4,0.919905405,0.8,3.94,1039.0,12600,0.0,0.0,0.0,0.0,20.0,1.1499
2015-01-08,finishing,5,0.821354167,0.7,4.15,1039.0,3840,0.0,0.0,0.0,0.0,8.0,1.1734
2015-01-08,finishing,7,0.681060606,0.8,2.9,1039.0,1440,0.0,0.0,0.0,0.0,8.0,0.8513
2015-01-08,finishing,8,0.735984848,0.8,2.9,1039.0,1440,0.0,0.0,0.0,0.0,8.0,0.92
2015-01-08,finishing,9,0.891723485,0.8,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.1147
2015-01-08,finishing,10,0.779791667,0.75,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.0397
2015-01-08,finishing,11,0.515606061,0.8,4.15,1039.0,900,0.0,0.0,0.0,0.0,5.0,0.6445
2015-01-08,sewing,1,0.850502311,0.8,26.16,1189.0,10620,75.0,0.0,0.0,0.0,59.0,1.0631
2015-01-08,sewing,2,0.800497246,0.8,28.08,783.0,10050,63.0,0.0,0.0,0.0,58.5,1.0006
2015-01-08,sewing,3,0.800273829,0.8,19.87,857.0,9900,50.0,0.0,0.0,0.0,55.0,1.0003
2015-01-08,sewing,4,0.850181818,0.8,28.08,942.0,10530,75.0,0.0,0.0,0.0,58.5,1.0627
2015-01-08,sewing,5,0.233705476,0.7,42.41,724.0,10260,0.0,0.0,0.0,0.0,57.0,0.3339
2015-01-08,sewing,6,0.800024932,0.8,11.41,411.0,14640,50.0,0.0,0.0,0.0,30.5,1.0
2015-01-08,sewing,7,0.850136766,0.8,25.9,1050.0,10170,60.0,0.0,0.0,0.0,56.5,1.0627
2015-01-08,sewing,8,0.850136766,0.8,25.9,1026.0,10170,60.0,0.0,0.0,0.0,56.5,1.0627
2015-01-08,sewing,9,0.900215716,0.8,26.16,1216.0,10620,88.0,0.0,0.0,0.0,59.0,1.1253
2015-01-08,sewing,10,0.8,0.75,28.08,1066.0,10530,69.0,0.0,0.0,0.0,58.5,1.0667
2015-01-08,sewing,11,0.349951389,0.35,12.52,287.0,25920,38.0,0.0,0.0,0.0,54.0,0.9999
2015-01-08,sewing,12,0.800107143,0.8,11.61,548.0,15120,63.0,0.0,0.0,0.0,31.5,1.0001
2015-01-10,finishing,1,0.985,0.8,3.94,1039.0,2160,0.0,0.0,0.0,0.0,8.0,1.2312
2015-01-10,finishing,2,0.817102273,0.8,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.0214
2015-01-10,finishing,3,0.930340376,0.75,4.15,1039.0,2760,0.0,0.0,0.0,0.0,12.0,1.2405
2015-01-10,finishing,4,0.911589744,0.8,3.94,1039.0,6000,0.0,0.0,0.0,0.0,20.0,1.1395
2015-01-10,finishing,5,0.337973485,0.5,4.15,1039.0,1440,0.0,0.0,0.0,0.0,8.0,0.6759
2015-01-10,finishing,7,0.670075758,0.8,2.9,1039.0,1440,0.0,0.0,0.0,0.0,8.0,0.8376
2015-01-10,finishing,8,0.628882576,0.8,2.9,1039.0,1440,0.0,0.0,0.0,0.0,8.0,0.7861
2015-01-10,finishing,9,0.858143939,0.8,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.0727
2015-01-10,finishing,10,0.846950758,0.8,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.0587
2015-01-10,finishing,11,0.817424242,0.8,4.15,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.0218
2015-01-10,sewing,1,0.800117103,0.8,26.16,1335.0,10620,63.0,0.0,0.0,0.0,59.0,1.0001
2015-01-10,sewing,2,0.800594466,0.8,28.08,749.0,10350,63.0,0.0,0.0,0.0,57.5,1.0007
2015-01-10,sewing,3,0.750098351,0.75,19.87,1075.0,7080,45.0,0.0,0.0,0.0,56.0,1.0001
2015-01-10,sewing,4,0.801028213,0.8,28.08,660.0,10440,63.0,0.0,0.0,0.0,58.0,1.0013
2015-01-10,sewing,5,0.388007813,0.5,20.79,966.0,7680,0.0,0.0,0.0,0.0,56.0,0.776
2015-01-10,sewing,6,0.800343766,0.8,11.41,887.0,5490,50.0,0.0,0.0,0.0,30.5,1.0004
2015-01-10,sewing,7,0.850136766,0.8,25.9,970.0,10170,60.0,0.0,0.0,0.0,56.5,1.0627
2015-01-10,sewing,8,0.850136766,0.8,25.9,1158.0,10170,60.0,0.0,0.0,0.0,56.5,1.0627
2015-01-10,sewing,9,0.851174114,0.8,26.16,1122.0,10620,75.0,0.0,0.0,0.0,59.0,1.064
2015-01-10,sewing,10,0.8,0.8,28.08,1082.0,10530,63.0,0.0,0.0,0.0,58.5,1.0
2015-01-10,sewing,11,0.673245283,0.5,12.52,749.0,9540,38.0,0.0,0.0,0.0,53.0,1.3465
2015-01-10,sewing,12,0.800346445,0.8,11.61,893.0,4710,50.0,0.0,0.0,0.0,31.5,1.0004
2015-01-11,finishing,1,0.873068182,0.8,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.0913
2015-01-11,finishing,2,0.820833333,0.8,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.026
2015-01-11,finishing,3,0.93532197,0.75,4.15,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.2471
2015-01-11,finishing,4,0.925643939,0.8,3.94,1039.0,3600,0.0,0.0,0.0,0.0,20.0,1.1571
2015-01-11,finishing,5,0.609138258,0.5,4.15,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.2183
2015-01-11,finishing,6,0.597348485,0.8,2.9,1039.0,1440,0.0,0.0,0.0,0.0,8.0,0.7467
2015-01-11,finishing,7,0.590435606,0.8,2.9,1039.0,1440,0.0,0.0,0.0,0.0,8.0,0.738
2015-01-11,finishing,8,0.653598485,0.8,2.9,1039.0,1440,0.0,0.0,0.0,0.0,8.0,0.817
2015-01-11,finishing,9,0.858143939,0.8,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.0727
2015-01-11,finishing,10,0.828295455,0.8,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.0354
2015-01-11,finishing,11,0.668087121,0.8,4.15,1039.0,1440,0.0,0.0,0.0,0.0,8.0,0.8351
2015-01-11,sewing,1,0.850502311,0.8,26.16,1383.0,10620,75.0,0.0,0.0,0.0,59.0,1.0631
2015-01-11,sewing,2,0.8,0.8,28.08,805.0,10530,63.0,0.0,0.0,0.0,58.5,1.0
2015-01-11,sewing,3,0.690182815,0.8,19.87,1043.0,6420,0.0,0.0,0.0,0.0,55.0,0.8627
2015-01-11,sewing,4,0.473134796,0.8,50.48,562.0,10440,0.0,0.0,0.0,0.0,58.0,0.5914
2015-01-11,sewing,5,0.452979626,0.6,20.79,1208.0,7980,0.0,0.0,0.0,0.0,57.0,0.755
2015-01-11,sewing,6,0.800343766,0.8,11.41,887.0,5490,50.0,0.0,0.0,0.0,30.5,1.0004
2015-01-11,sewing,7,0.850136766,0.8,25.9,1012.0,10170,45.0,0.0,0.0,0.0,56.5,1.0627
2015-01-11,sewing,8,0.850136766,0.8,25.9,1209.0,10170,60.0,0.0,0.0,0.0,56.5,1.0627
2015-01-11,sewing,9,0.900215716,0.8,26.16,1095.0,10620,88.0,0.0,0.0,0.0,59.0,1.1253
2015-01-11,sewing,10,0.8,0.8,28.08,762.0,10530,38.0,0.0,0.0,0.0,58.5,1.0
2015-01-11,sewing,11,0.600229846,0.6,12.52,831.0,9540,30.0,0.0,0.0,0.0,53.0,1.0004
2015-01-11,sewing,12,0.800246753,0.8,11.61,896.0,5670,50.0,0.0,0.0,0.0,31.5,1.0003
2015-01-12,finishing,1,0.955151515,0.8,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.1939
2015-01-12,finishing,2,0.880530303,0.8,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.1007
2015-01-12,finishing,3,0.905454545,0.8,4.15,1039.0,1800,0.0,0.0,0.0,0.0,10.0,1.1318
2015-01-12,finishing,4,0.942213805,0.35,4.3,1039.0,3240,0.0,0.0,0.0,0.0,18.0,2.692
2015-01-12,finishing,5,0.809564394,0.65,4.15,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.2455
2015-01-12,finishing,6,0.817424242,0.8,2.9,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.0218
2015-01-12,finishing,7,0.648106061,0.8,2.9,1039.0,1440,0.0,0.0,0.0,0.0,8.0,0.8101
2015-01-12,finishing,8,0.725,0.8,2.9,1039.0,1440,0.0,0.0,0.0,0.0,8.0,0.9062
2015-01-12,finishing,9,0.858143939,0.8,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.0727
2015-01-12,finishing,10,0.24625,0.8,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,0.3078
2015-01-12,finishing,11,0.640577652,0.8,4.15,1039.0,1440,0.0,0.0,0.0,0.0,8.0,0.8007
2015-01-12,sewing,1,0.850522167,0.8,26.16,1099.0,8220,75.0,0.0,0.0,0.0,59.0,1.0632
2015-01-12,sewing,2,0.8,0.8,28.08,737.0,10530,63.0,0.0,0.0,0.0,58.5,1.0
2015-01-12,sewing,3,0.800273829,0.8,19.87,941.0,9900,0.0,0.0,0.0,0.0,55.0,1.0003
2015-01-12,sewing,4,0.35063299,0.35,22.4,581.0,7350,0.0,0.0,0.0,0.0,51.5,1.0018
2015-01-12,sewing,5,0.650040783,0.65,20.79,1141.0,8460,0.0,0.0,0.0,0.0,59.0,1.0001
2015-01-12,sewing,6,0.800181818,0.8,11.41,843.0,5670,50.0,0.0,0.0,0.0,31.5,1.0002
2015-01-12,sewing,7,0.850136766,0.8,25.9,1031.0,10170,60.0,0.0,0.0,0.0,56.5,1.0627
2015-01-12,sewing,8,0.850136766,0.8,25.9,1233.0,10170,60.0,0.0,0.0,0.0,56.5,1.0627
2015-01-12,sewing,9,0.850502311,0.8,26.16,1093.0,10620,75.0,0.0,0.0,0.0,59.0,1.0631
2015-01-12,sewing,10,0.688557555,0.8,50.48,381.0,6930,45.0,0.0,0.0,0.0,58.5,0.8607
2015-01-12,sewing,11,0.64998056,0.65,12.52,1004.0,9540,44.0,0.0,0.0,0.0,53.0,1.0
2015-01-12,sewing,12,0.80007657,0.8,11.61,760.0,4470,50.0,0.0,0.0,0.0,31.5,1.0001
2015-01-13,finishing,1,0.951420455,0.8,3.94,1039.0,1440,0.0,0.0,0.0,0.0,2.0,1.1893
2015-01-13,finishing,2,0.805909091,0.8,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.0074
2015-01-13,finishing,3,0.901262626,0.8,4.15,1039.0,1620,0.0,0.0,0.0,0.0,9.0,1.1266
2015-01-13,finishing,4,0.952020202,0.35,4.3,1039.0,2160,0.0,0.0,0.0,0.0,12.0,2.7201
2015-01-13,finishing,5,0.821354167,0.65,4.15,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.2636
2015-01-13,finishing,7,0.670075758,0.8,2.9,1039.0,1440,0.0,0.0,0.0,0.0,8.0,0.8376
2015-01-13,finishing,8,0.681060606,0.8,2.9,1039.0,1440,0.0,0.0,0.0,0.0,8.0,0.8513
2015-01-13,finishing,9,0.858143939,0.8,3.94,1039.0,1440,0.0,0.0,0.0,0.0,8.0,1.0727
2015-01-13,finishing,10,0.912766667,0.8,3.94,1039.0,5400,0.0,0.0,0.0,0.0,20.0,1.141
2015-01-13,finishing,11,0.601278409,0.8,4.15,1039.0,1440,0.0,0.0,0.0,0.0,8.0,0.7516
2015-01-13,sewing,1,0.850502311,0.8,26.16,1073.0,10620,75.0,0.0,0.0,0.0,59.0,1.0631
2015-01-13,sewing,2,0.8,0.8,28.08,723.0,10530,50.0,0.0,0.0,0.0,58.5,1.0
2015-01-13,sewing,3,0.705576584,0.8,42.27,465.0,9900,54.0,0.0,0.0,0.0,55.0,0.882
2015-01-13,sewing,4,0.500380799,0.5,22.4,783.0,10170,23.0,0.0,0.0,0.0,56.5,1.0008
2015-01-13,sewing,5,0.526810345,0.7,20.79,1297.0,10440,0.0,0.0,0.0,0.0,58.0,0.7526
2015-01-13,sewing,6,0.800246753,0.8,11.61,1004.0,5670,50.0,0.0,0.0,0.0,31.5,1.0003
2015-01-13,sewing,7,0.850136766,0.8,25.9,1126.0,10170,60.0,0.0,0.0,0.0,56.5,1.0627
